year,month,service,departure_station,arrival_station,journey_time_avg,total_num_trips,num_of_canceled_trains,num_late_at_departure,avg_delay_late_at_departure,avg_delay_all_departing,num_arriving_late,avg_delay_late_on_arrival,avg_delay_all_arriving,delay_cause_external_cause,delay_cause_rail_infrastructure,delay_cause_traffic_management,delay_cause_rolling_stock,delay_cause_station_management,delay_cause_travelers,num_greater_15_min_late,avg_delay_late_greater_15_min,num_greater_30_min_late,num_greater_60_min_late,departure_region,arrival_region,pct_cancelled
2017,1,National,MACON LOCHE,PARIS LYON,98.9219512195,210,5,79,12.3293248945,5.93723577236,26.0,26.1314102564,3.05317073171,0.130434782609,0.304347826087,0.260869565217,0.217391304348,0.0434782608696,0.0434782608696,20.0,30.3458333333,8.0,0.0,BFC,IDF,0.023809523809523808
2017,1,National,MARSEILLE ST CHARLES,PARIS LYON,201.419512195,418,8,28,19.0083333333,1.55296747967,48.0,47.5809027778,4.78670731707,0.1875,0.208333333333,0.333333333333,0.25,0.0208333333333,0.0,34.0,62.3200980392,22.0,13.0,PACA,IDF,0.019138755980861243
2017,1,National,MARSEILLE ST CHARLES,LILLE,300.356321839,178,4,15,26.2922222222,2.59367816092,48.0,35.8777777778,11.5889846743,0.217391304348,0.260869565217,0.239130434783,0.173913043478,0.0652173913043,0.0434782608696,48.0,35.8777777778,14.0,6.0,PACA,HDF,0.02247191011235955
2017,1,National,NANCY,PARIS EST,93.8413793103,291,1,39,16.5636752137,2.67034482759,39.0,27.0700854701,2.81879310345,0.235294117647,0.0588235294118,0.441176470588,0.176470588235,0.0294117647059,0.0588235294118,20.0,43.5566666667,10.0,3.0,GE,IDF,0.003436426116838488
2017,1,National,PARIS EST,NANCY,95.181184669,289,2,25,22.1993333333,2.11393728223,32.0,33.9369791667,4.1818815331,0.310344827586,0.0344827586207,0.275862068966,0.310344827586,0.0689655172414,0.0,22.0,43.8401515152,13.0,4.0,IDF,GE,0.006920415224913495
2017,1,National,PARIS LYON,LE CREUSOT MONTCEAU MONTCHANIN,78.815920398,201,0,18,15.9296296296,1.34535655058,19.0,25.3587719298,2.771973466,0.230769230769,0.384615384615,0.153846153846,0.230769230769,0.0,0.0,7.0,53.8642857143,5.0,3.0,IDF,BFC,0.0
2017,1,National,PARIS LYON,MACON LOCHE,95.7926267281,218,1,13,14.0141025641,0.858525345622,18.0,22.812962963,2.23110599078,0.277777777778,0.277777777778,0.0,0.444444444444,0.0,0.0,10.0,31.46,6.0,0.0,IDF,BFC,0.0045871559633027525
2017,1,National,PARIS LYON,MARSEILLE ST CHARLES,202.905109489,413,2,28,18.7202380952,1.11496350365,45.0,46.7111111111,6.19188969992,0.113636363636,0.295454545455,0.25,0.340909090909,0.0,0.0,34.0,57.9632352941,19.0,10.0,IDF,PACA,0.004842615012106538
2017,1,National,PARIS LYON,MULHOUSE VILLE,167.604240283,289,6,21,17.4507936508,1.16866902238,46.0,28.6047101449,6.18722025913,0.157894736842,0.184210526316,0.289473684211,0.289473684211,0.0526315789474,0.0263157894737,32.0,35.78125,10.0,4.0,IDF,GE,0.020761245674740483
2017,1,National,PARIS LYON,NICE VILLE,343.278688525,194,11,17,19.6098039216,0.231876138434,28.0,45.643452381,9.82358834244,0.214285714286,0.285714285714,0.25,0.178571428571,0.0357142857143,0.0357142857143,28.0,45.643452381,13.0,6.0,IDF,PACA,0.05670103092783505
2017,1,International,PARIS LYON,ZURICH,177.990559441,143,0,12,11.6597222222,0.793123543124,22.0,33.2272727273,6.22948717949,0.0909090909091,0.318181818182,0.272727272727,0.272727272727,0.0,0.0454545454545,15.0,42.7333333333,5.0,2.0,IDF,SUISSE,0.0
2017,1,National,PARIS MONTPARNASSE,NANTES,139.530737705,510,22,25,18.6686666667,0.954200819672,64.0,32.2442708333,6.71349043716,0.233333333333,0.283333333333,0.25,0.2,0.0166666666667,0.0166666666667,33.0,50.9787878788,16.0,4.0,IDF,PDLL,0.043137254901960784
2017,1,National,PARIS MONTPARNASSE,VANNES,197.253521127,213,0,14,17.7583333333,1.0417057903,29.0,35.1896551724,5.30516431925,0.36,0.12,0.08,0.32,0.04,0.08,21.0,43.7857142857,10.0,4.0,IDF,B,0.0
2017,1,National,PARIS NORD,DOUAI,66.405,202,2,7,13.9095238095,0.601583333333,38.0,14.1728070175,2.5855,0.25,0.321428571429,0.214285714286,0.0714285714286,0.142857142857,0.0,10.0,30.2733333333,3.0,1.0,IDF,HDF,0.009900990099009901
2017,1,National,PARIS NORD,DUNKERQUE,119.682730924,253,4,9,19.6148148148,0.692570281124,20.0,26.05,2.54417670683,0.45,0.2,0.15,0.2,0.0,0.0,17.0,28.4117647059,5.0,0.0,IDF,HDF,0.015810276679841896
2017,1,National,PERPIGNAN,PARIS LYON,302.318471338,160,3,22,15.0257575758,2.48609341826,22.0,52.8840909091,6.1872611465,0.117647058824,0.235294117647,0.294117647059,0.294117647059,0.0588235294118,0.0,22.0,52.8840909091,12.0,5.0,O,IDF,0.01875
2017,1,National,RENNES,LYON PART DIEU,259.801980198,105,4,8,15.875,1.87128712871,19.0,39.8280701754,6.83894389439,0.222222222222,0.444444444444,0.166666666667,0.166666666667,0.0,0.0,19.0,39.8280701754,10.0,4.0,B,IDF,0.0380952380952381
2017,1,National,SAINT ETIENNE CHATEAUCREUX,PARIS LYON,168.375,115,3,1,21.8,-0.146875,14.0,19.25,2.69717261905,0.444444444444,0.111111111111,0.333333333333,0.111111111111,0.0,0.0,9.0,23.1444444444,1.0,0.0,ARA,IDF,0.02608695652173913
